,l1,l2,r2_train,r2_test,mse_train,mse_test
0,0.0,0.0,-18.78278958503869,-35.91803399748735,0.011523113556264855,0.011595423824833332
1,0.0,0.02,-8.37917365995276,-16.18684282265793,0.005480109800607053,0.005512241544157121
2,0.0,0.04,-3.723490094603636,-7.305030038206128,0.00277852238791469,0.002793444304901356
3,0.0,0.06,-1.6457805869457112,-3.3050211766554063,0.001574710740307357,0.001582220589587819
4,0.0,0.08,-0.7227801052993079,-1.5026814404685787,0.0010411831430290285,0.0010454629740607603
5,0.0,0.1,-0.31603276281304593,-0.6905187691944542,0.0008069280997411188,0.0008097681789429725
6,0.02,0.0,-3.303041301852282,-6.438413340060651,0.0025353245727647465,0.002555379921390552
7,0.02,0.02,-0.626317938603837,-1.2941358038207722,0.0009852263344053516,0.0009926011214543308
8,0.02,0.04,-0.047283519768120286,-0.1265491456600539,0.0006532816303386633,0.0006561150161937634
9,0.02,0.06,-0.9068282207131144,-1.5700020620707384,0.0011542721863200764,0.0011523449158786796
10,0.02,0.08,-0.8305488869436466,-1.429259519062076,0.0011102096711595043,0.0011100758774479514
11,0.02,0.1,-0.7630836025572197,-1.3251319201848535,0.0010707922741344839,0.0010779063941890976
12,0.04,0.0,-0.6276988913459711,-1.0838870802481,0.000993571095320995,0.0009941097041254153
13,0.04,0.02,-1.633976166438962,-2.95290386051138,0.0015802611330592215,0.0015862264760525898
14,0.04,0.04,-1.6277039127010227,-2.9345760146258226,0.0015787866404137194,0.0015765792552150455
15,0.04,0.06,-1.6247217193133783,-2.959835290722894,0.001576391425925984,0.001582259897805398
16,0.04,0.08,-1.641107410298649,-2.8971565663919576,0.0015829657599471404,0.0015713874133302691
17,0.04,0.1,-1.6302434387110754,-2.8891670024155847,0.0015808100655664806,0.0015676137304332584
18,0.06,0.0,-1.6418667160596108,-2.937394363814536,0.001576968364738964,0.0015785864382201538
19,0.06,0.02,-1.6169753445701283,-2.972015159492016,0.00157488950270132,0.0015830887889441813
20,0.06,0.04,-1.6444597879691631,-2.903598867702697,0.001579929418919767,0.001570702337356282
21,0.06,0.06,-1.64781526818278,-2.956453726763301,0.001584820283960809,0.0015849270610789068
22,0.06,0.08,-1.6235924854075965,-2.916385976772748,0.0015709378922109673,0.001586693762398087
23,0.06,0.1,-1.6608635016955915,-2.916683751755661,0.0015882777386584646,0.0015661203037628524
24,0.08,0.0,-1.5893992052060053,-2.943986255812999,0.0015601335000659192,0.001583996953526593
25,0.08,0.02,-1.6045216937710638,-2.8996031110052103,0.0015582381400020642,0.001581213199677304
26,0.08,0.04,-1.6639114699461994,-2.8566811256804794,0.0015929605090472666,0.001569455403651081
27,0.08,0.06,-1.6174050646374372,-3.0495657783896393,0.0015669762302080263,0.0016194275493368448
28,0.08,0.08,-1.6328487409133718,-2.947303205789955,0.001579328124433814,0.001571868075965903
29,0.08,0.1,-1.6119187794392622,-2.856559381427945,0.001574127056827522,0.0015689858830181616
30,0.1,0.0,-1.616217420361125,-2.9871000777894055,0.0015743652623073086,0.0016054342583609344
31,0.1,0.02,-1.6092646731817855,-2.9542263675910427,0.0015732513867818757,0.0015788062234343876
32,0.1,0.04,-1.67159281055986,-3.022173593373408,0.0015998220722834217,0.001584343926326862
33,0.1,0.06,-1.6501340128803013,-3.016878749172504,0.0015927967694733757,0.001596312766441444
34,0.1,0.08,-1.6539302486334813,-3.0508763788538364,0.001588689763807222,0.001610751916922347
35,0.1,0.1,-1.6348279567572797,-2.8244828570673604,0.0015824863587034425,0.0015461627751716866
